#x, y, z, milliseconds, timeInMilliseconds
0.0669528, -0.0472147, -0.00953939, 48, 48
0.0662258, 0.0451885, -0.0714965, 48, 48
0.12892, -0.0403473, -0.0567723, 48, 49
0.208501, -0.141999, -0.0714513, 48, 48
0.192088, -0.064036, -0.110339, 47, 47
0.192494, -0.0478366, -0.0635951, 48, 48
0.278111, -0.110404, -0.0791786, 48, 49
0.285477, -0.134546, -0.213029, 47, 46
0.247457, -0.118938, -0.0868851, 48, 48
0.215445, -0.126384, -0.110548, 47, 47
0.121758, -0.00963164, -0.0320869, 49, 49
0.067251, -0.0396919, 0.0224202, 47, 46
0.020648, -0.0237934, 0.0135061, 49, 49
-0.0737852, 0.0533068, 0.0057914, 48, 48
-0.183506, 0.0305428, 0.0438835, 52, 55
-0.183966, 0.123185, 0.0126069, 41, 38
-0.152687, 0.131322, -0.0422668, 48, 48
-0.1846, 0.108037, -0.058674, 47, 47
-0.137845, 0.177873, -0.0172685, 48, 47
-0.167813, 0.147825, 0.0448293, 48, 49
-0.17647, 0.115963, 0.0285791, 47, 46
-0.176121, -0.0391734, 0.0348868, 50, 50
-0.112113, -0.00838816, 0.083548, 45, 45
-0.064859, -0.0544345, 0.154845, 49, 49
-0.0727608, -0.163691, 0.0742644, 46, 46
-0.150187, 0.0401738, 0.20869, 48, 48
-0.0720303, -0.116673, 0.161716, 48, 48
0.0209099, -0.0553843, 0.0366072, 47, 47
0.0667074, -0.109812, -0.0492354, 50, 50
0.0206157, -0.04705, 0.00598419, 45, 45
-0.0664534, 0.0618386, 0.00591806, 50, 50
-0.0746944, 0.0220692, -0.097507, 47, 48
-0.0353243, 0.0686518, -0.0649187, 45, 46
-0.0191003, 0.0150131, -0.0418186, 48, 48
-0.0125794, 0.193003, -0.0957625, 48, 48
0.00171384, 0.199119, -0.268608, 47, 47
-0.0371662, 0.206746, -0.237014, 48, 48
-0.10142, 0.229647, -0.300037, 48, 48
-0.0456546, 0.199487, -0.22978, 47, 47
-0.114757, 0.121792, -0.175733, 49, 52
-0.0912325, 0.223475, -0.126963, 46, 44
-0.147448, 0.206833, -0.253991, 47, 47
-0.156984, 0.204191, 0.430624, 48, 48
-0.324443, 0.0920223, 0.954728, 57, 59
-0.413996, 0.017316, 1.44177, 39, 36
-0.322551, 0.232834, 1.18395, 49, 49
-0.386941, 0.12458, 0.160435, 47, 47
-0.086688, -0.334535, 1.1749, 48, 49
0.0975393, -0.133836, -0.159552, 49, 48
0.117286, 0.111913, -0.487781, 46, 46
0.247784, 0.0471613, -0.809736, 48, 50
-0.433338, -0.175481, -0.676473, 48, 46
-0.279896, -0.328083, -0.258873, 49, 49
-0.0600006, -0.234845, -0.145754, 46, 45
-0.0703224, -0.215725, 0.326714, 49, 49
0.128554, 0.161276, -0.0554007, 46, 45
0.191471, 0.0749995, -0.148664, 49, 50
0.294088, 0.442408, -0.885143, 49, 48
0.188166, 0.32217, -0.455011, 46, 46
0.164393, 0.432636, -1.28032, 49, 49
0.185444, 0.0864998, -0.794098, 46, 46
0.270879, 0.164499, -0.801362, 49, 49
0.186066, 0.188491, -0.707498, 46, 47
0.0268609, 0.211019, -0.849941, 49, 49
0.152194, 0.108756, -0.943962, 49, 48
0.205848, 0.0843656, -1.1007, 46, 46
-0.00200742, 0.103467, -0.685285, 49, 48
-0.0533291, -0.197093, -0.341771, 46, 46
-0.158105, -0.130571, 0.246718, 56, 57
-0.310834, -0.18249, 0.654796, 41, 40
-0.180271, -0.075918, 0.373276, 47, 47
-0.145336, 0.122766, -0.0422573, 48, 48
-0.114396, 0.0291231, -0.153049, 47, 46
-0.185957, 0.239247, -0.175595, 47, 47
-0.0534777, -0.0344897, -0.325937, 48, 48
-0.198298, -0.163077, 0.128321, 50, 50
-0.059084, -0.0469989, -0.0107094, 46, 48
-0.035405, 0.146919, -0.0570235, 47, 46
0.0578629, 0.324654, -0.124888, 48, 48
0.0191849, 0.255358, -0.0864536, 48, 48
0.254862, 0.052374, -0.04638, 48, 50
0.365747, -0.133208, 1.3748e-05, 47, 46
0.16476, -0.169548, 0.35253, 48, 48
-0.000109205, -0.0210027, 0.414593, 47, 47
-0.056673, -0.177339, 0.224027, 48, 48
-0.0423675, -0.101446, 0.067608, 48, 47
0.0655455, -0.203634, -0.19223, 47, 48
0.180548, -0.128577, -0.442205, 48, 48
0.179927, -0.198732, -0.521225, 48, 48
0.119767, -0.0954576, -0.260933, 47, 48
0.0352466, -0.155958, -0.019166, 48, 47
-0.018758, 0.0153188, -0.00254754, 47, 48
0.167214, -0.0483627, -0.149731, 48, 47
0.348287, -0.166124, -0.173395, 49, 50
0.41832, -0.0421685, -0.250432, 46, 45
0.309687, 0.0606893, -0.0691293, 47, 47
0.099277, -0.00895678, 0.053604, 47, 51
-0.0641505, 0.0244316, 0.248649, 58, 55
-0.0650649, -0.0386089, 0.138998, 38, 37
-0.118694, 0.0175778, 0.303315, 49, 48
0.0342813, 0.0219579, -0.0879058, 46, 48
0.0206114, 0.0692116, 0.0300914, 48, 46
-0.0583621, -0.00852177, 0.0754565, 47, 47
-0.0435592, -0.000805302, -0.0421548, 49, 49
-0.0186127, 0.0154322, 0.0134068, 47, 48
-0.0578508, 0.202271, 0.171387, 47, 47
-0.293005, -0.00790768, 0.105184, 49, 49
-0.105502, -0.101876, -0.0115163, 48, 50
0.0269159, -0.00985662, -0.0967811, 48, 45
0.0267592, 0.122168, -0.0872922, 46, 46
0.113033, 0.0909876, -0.157875, 48, 49
-0.0116731, -0.0399624, -0.0421255, 47, 47
0.00573648, -0.0694489, 0.114904, 50, 49
0.160576, 0.0378331, -0.055946, 46, 46
0.608724, 0.255021, 0.020874, 48, 48
0.889701, 0.0122673, -0.206411, 48, 47
1.01509, -0.144127, -0.174408, 46, 46
1.2428, -0.462515, -0.222322, 49, 50
1.49349, -0.113192, -0.16975, 46, 47
1.47013, -0.222092, -0.202616, 48, 47
1.47336, -0.18059, 0.15233, 47, 47
1.37625, -0.473206, 0.574008, 49, 49
1.51715, -0.621345, 0.565717, 56, 57
1.72066, -0.551376, 0.489552, 38, 37
1.83457, -0.725484, 0.0734356, 48, 49
1.95015, -0.486058, -0.0821526, 47, 46
2.12398, 0.0368111, -0.760466, 49, 55
2.23803, 0.0267562, -1.13006, 47, 42
2.52399, 0.0751377, -0.765074, 47, 47
2.21331, -0.0631202, -0.517349, 47, 47
1.6351, -0.46356, -0.272675, 48, 48
1.31488, 0.0740319, 0.00288795, 48, 48
1.07222, 0.424967, 0.160096, 48, 48
0.704834, 0.0531763, 0.186048, 48, 48
0.453406, -0.0229894, 0.238411, 47, 47
0.302958, 0.380163, 0.191907, 50, 50
0.319407, 0.241061, 0.223015, 45, 46
0.345839, 0.00142039, 0.386057, 48, 50
0.437888, 0.0302518, 0.158869, 47, 45
0.303676, -0.125476, 0.0387559, 47, 47
0.146355, -0.0929944, 0.101324, 48, 48
0.0204947, 0.0459045, 0.0139784, 47, 47
-0.0269175, -0.0859119, 0.0212279, 49, 50
-0.0666396, 0.0691044, -0.00998793, 47, 46
-0.0988802, 0.138598, -0.0417185, 48, 48
0.00452607, -0.171856, -0.0342866, 48, 48
0.0516335, -0.0626097, 0.0527942, 47, 47
0.139938, -0.116783, 0.19559, 51, 52
0.0921554, -0.131412, 0.186456, 44, 43
0.123921, -0.100926, 0.186959, 48, 49
0.0601342, 0.147735, 0.0862137, 47, 47
0.0206935, 0.0154723, 0.0297248, 57, 58
0.0587656, 0.0916949, -0.0712511, 38, 37
0.0421541, 0.0752798, -0.151279, 49, 49
0.182381, -0.010975, -0.220508, 47, 48
0.145325, -0.257696, -0.0421529, 48, 47
0.0201609, -0.218597, -0.0737268, 48, 48
0.00407393, -0.000900703, -0.0490768, 47, 47
-0.110623, -0.0769762, 0.232799, 50, 50
-0.0710671, -0.0535221, 0.279957, 45, 45
-0.000527803, 0.243004, 0.423753, 49, 49
-0.0470771, 0.523216, 0.47309, 46, 49
-0.149187, 0.554469, 0.550889, 49, 46
-0.120153, 0.264884, 0.195776, 46, 46
-0.104911, 0.139598, 0.100576, 48, 49
0.0213762, -0.0464019, 0.0918908, 48, 47
0.0661607, -0.11013, -0.104465, 48, 48
-0.0439215, -0.133168, -0.105645, 48, 48
-0.114636, 0.0840178, -0.167402, 47, 47
0.0473975, 0.105545, -0.370675, 50, 50
0.173559, 0.0736123, -0.362358, 46, 45
0.0789452, 0.128565, -0.393541, 49, 50
0.0148379, 0.0649986, -0.590905, 59, 63
