#x, y, z, milliseconds, timeInMilliseconds
409.5, 429.15, -58.05, 220, 220
407.1, 429.6, -56.4, 218, 218
409.35, 430.2, -55.5, 221, 221
407.85, 429.6, -55.65, 219, 218
406.95, 429.75, -57.45, 220, 220
408.45, 429, -56.7, 220, 220
407.25, 430.95, -55.2, 218, 218
408.45, 429.45, -55.95, 219, 220
408.45, 429, -57, 227, 228
407.55, 430.8, -56.4, 213, 212
407.85, 429.15, -56.85, 220, 219
408.9, 430.5, -55.95, 219, 220
407.7, 429, -57, 219, 218
408.75, 430.35, -57.3, 219, 219
408.75, 431.1, -56.4, 221, 221
407.1, 430.35, -56.1, 220, 221
408.9, 431.7, -57, 218, 217
408.45, 432.45, -56.7, 220, 221
410.1, 429.75, -57, 219, 219
409.05, 430.8, -56.85, 220, 220
408.45, 430.2, -55.5, 220, 220
408.3, 430.35, -57.3, 218, 218
409.05, 429.6, -58.05, 220, 220
407.55, 431.1, -57.3, 220, 220
407.55, 429.15, -56.85, 220, 220
408.3, 429.6, -56.4, 220, 221
407.7, 431.25, -56.25, 219, 218
408.3, 430.8, -57.3, 219, 219
406.65, 430.8, -54.9, 229, 229
408.75, 427.95, -56.85, 210, 210
408.9, 430.5, -55.95, 220, 220
408.15, 430.95, -55.5, 218, 219
409.95, 431.1, -56.1, 220, 220
408.3, 428.85, -56.85, 219, 219
407.7, 430.5, -56.25, 220, 220
407.1, 430.35, -58.05, 220, 220
406.95, 430.95, -57, 219, 219
409.65, 430.2, -56.25, 220, 220
409.35, 429.45, -55.95, 219, 220
409.05, 429.15, -57.3, 222, 221
406.95, 431.25, -55.95, 218, 218
408.45, 430.95, -55.95, 219, 219
407.7, 429.75, -55.95, 219, 219
408.45, 428.55, -56.7, 219, 219
408.15, 429.75, -56.25, 220, 220
407.7, 430.5, -57, 220, 220
408.75, 429.9, -55.65, 219, 219
408.15, 428.25, -57.45, 220, 220
408.3, 429.15, -57.6, 219, 219
409.65, 430.2, -56.7, 220, 220
409.95, 430.35, -56.1, 220, 219
408.3, 431.1, -56.85, 219, 219
408.75, 429.9, -55.65, 219, 219
408.9, 428.55, -55.2, 220, 220
407.55, 428.4, -56.4, 220, 219
408.3, 430.35, -56.4, 220, 220
408.75, 430.35, -57.3, 219, 219
409.05, 429.15, -56.4, 219, 219
408.15, 429.75, -56.7, 228, 228
408.75, 429.15, -56.4, 212, 211
408.9, 431.25, -55.5, 220, 220
407.85, 431.1, -55.35, 218, 218
409.95, 430.8, -56.4, 221, 221
408.15, 430.95, -57.75, 219, 218
406.05, 430.2, -55.95, 220, 220
408.9, 429.45, -57, 220, 220
407.55, 430.35, -55.65, 219, 218
408.75, 428.85, -56.4, 219, 220
408.75, 431.1, -55.35, 228, 229
409.35, 429.75, -56.7, 212, 210
408.45, 430.5, -56.25, 220, 220
408.9, 429.75, -57, 219, 219
409.05, 431.85, -55.65, 219, 219
408.75, 430.35, -55.65, 220, 220
407.7, 430.95, -55.5, 220, 220
407.55, 430.8, -58.35, 220, 220
407.1, 430.8, -56.85, 218, 218
408.75, 431.1, -57.3, 220, 220
406.5, 431.25, -55.95, 219, 219
407.55, 430.35, -55.65, 220, 220
408.75, 429.6, -56.4, 220, 220
408.45, 429.75, -55.95, 218, 218
407.55, 430.8, -55.35, 219, 220
409.5, 430.8, -55.35, 220, 220
408.15, 429.75, -55.95, 220, 220
408.45, 427.8, -56.7, 220, 219
407.1, 429.9, -56.1, 219, 219
407.85, 430.35, -56.1, 219, 219
407.25, 431.7, -56.7, 228, 230
409.05, 430.8, -58.05, 211, 209
406.95, 430.5, -57.45, 220, 220
408.45, 430.5, -56.7, 218, 218
407.7, 431.7, -57, 220, 220
407.25, 430.95, -57.45, 219, 220
407.7, 429.45, -56.25, 220, 219
408.45, 430.95, -57, 220, 220
408.75, 429.9, -57.6, 219, 219
407.1, 428.85, -55.65, 219, 219
408.15, 430.2, -55.95, 228, 228
407.7, 430.2, -56.7, 212, 211
407.7, 429.75, -55.2, 220, 221
408.45, 430.2, -55.95, 219, 218
408.3, 431.1, -56.4, 219, 219
408.3, 431.1, -55.65, 219, 220
409.35, 430.5, -55.5, 220, 221
407.55, 430.35, -58.05, 220, 220
408.3, 429.9, -56.1, 218, 218
